SEP=;
OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT TYPE;LGT HR;MARKINGS
EFINOB 12755;Chimney;605408.2N 0263905.0E;60.90226955;26.65139857;411;613;NIL;NIL;NIL
EFINOB 12781;Mast;610805.6N 0264850.3E;61.13488134;26.81398016;366;649;F R;HN;Y
EFINOB 12797;Mast;614502.4N 0255252.9E;61.75067199;25.88137331;367;1044;F R;HN;Y
EFINOB 12863;Chimney;614839.6N 0251420.0E;61.81100037;25.23888509;395;684;F R;HN;NIL
EFINOB 12908;Mast;600731.8N 0232935.9E;60.12549936;23.49329361;749;995;FLG W;H24;NIL
EFINOB 12967;Mast;621301.5N 0234735.8E;62.21707518;23.79328036;507;1107;F R;HN;Y
EFINOB 12971;Mast;621454.2N 0235226.0E;62.24838719;23.87389076;342;958;F R;HN;Y
EFINOB 12972;Mast;622507.6N 0224210.6E;62.41878472;22.70294879;430;918;F R;HN;Y
EFINOB 12991;Mast;624640.4N 0224823.6E;62.77787769;22.80654456;420;710;F R;HN;Y
EFINOB 13010;Mast;623143.5N 0235049.7E;62.52873738;23.84714778;454;1016;F R;HN;Y
EFINOB 13029;Mast;620054.1N 0244142.1E;62.01503386;24.69502455;378;748;F R;HN;Y
EFINOB 13033;Chimney;620138.0N 0243807.8E;62.02723213;24.6354958;389;742;F R;HN;NIL
EFINOB 13041;Mast;621556.9N 0244407.7E;62.26580077;24.73548608;440;1025;F R;HN;Y
EFINOB 13056;Mast;622001.8N 0245242.4E;62.33384317;24.87843583;361;1093;F R;HN;Y
EFINOB 13059;Mast;621550.6N 0250947.3E;62.26405394;25.16312567;433;908;F R;HN;Y
EFINOB 13061;Mast;622617.0N 0240739.8E;62.43805862;24.12772006;571;1191;FLG W;H24;Y
EFINOB 13072;Mast;623729.8N 0245500.3E;62.62495452;24.9167391;333;1144;F R;HN;Y
EFINOB 13076;Mast;625720.9N 0225710.1E;62.95579569;22.95280644;1060;1481;FLG W;H24;Y
EFINOB 13080;Mast;625732.8N 0230103.3E;62.95910251;23.01757181;397;511;F R;HN;Y
EFINOB 13095;Mast;631438.0N 0225337.4E;63.24389998;22.89372522;348;534;F R;HN;Y
EFINOB 13127;Mast;633107.0N 0231110.4E;63.51860722;23.18622005;342;516;F R;HN;Y
EFINOB 13136;Chimney;635135.4N 0230250.3E;63.85984595;23.04731857;459;472;F R;HN;NIL
EFINOB 13153;Mast;632832.3N 0234744.5E;63.47565048;23.79570221;410;709;F R;HN;Y
EFINOB 13158;Mast;634406.7N 0233018.4E;63.73519965;23.50512015;686;855;FLG W;H24;Y
EFINOB 13162;Mast;635011.4N 0235316.2E;63.83649856;23.88783103;358;611;F R;HN;Y
EFINOB 13168;Mast;602236.6N 0222005.8E;60.37684508;22.33494622;1047;1196;FLG W;H24;Y
EFINOB 13210;Mast;640038.5N 0241959.8E;64.01070813;24.33328453;388;716;F R;HN;Y
EFINOB 13243;Mast;611556.7N 0280141.0E;61.26576247;28.02806072;329;691;F R;HN;Y
EFINOB 13316;Mast;602845.0N 0255233.9E;60.47916745;25.8760929;329;469;F R;HN;Y
EFINOB 13322;Mast;620046.4N 0263911.4E;62.01289819;26.65316278;338;672;F R;HN;Y
EFINOB 13407;Mast;603445.1N 0240715.6E;60.57918771;24.12098761;329;791;F R;HN;Y
EFINOB 13461;Tower;601844.3N 0253147.6E;60.31229774;25.52989687;358;391;F R;HN;NIL
EFINOB 13475;Mast;650204.3N 0255036.5E;65.03453375;25.84347451;1070;1297;FLG W;H24;NIL
EFINOB 13477;Mast;641212.2N 0274406.8E;64.20339971;27.73522086;329;921;F R;HN;Y
EFINOB 13519;Building;613754.1N 0212424.9E;61.63168626;21.40691199;332;344;F R;HN;NIL
EFINOB 13551;Chimney;630529.0N 0213315.7E;63.09140027;21.55436227;356;360;F R;HN;NIL
EFINOB 13627;Mast;601234.0N 0250300.8E;60.2094312;25.05021321;333;425;F R;HN;Y
EFINOB 13795;Mast;602205.2N 0262035.5E;60.36811927;26.3431868;430;472;F R;HN;Y
EFINOB 13846;Pylon;611243.9N 0260022.4E;61.21218667;26.00623078;345;600;FLG W;H24;NIL
EFINOB 13899;Chimney;650016.3N 0252553.7E;65.00452494;25.43158523;412;424;F R;HN;NIL
EFINOB 14131;Chimney;611913.7N 0220720.2E;61.32048453;22.12229013;460;571;F R;HN;NIL
EFINOB 14143;Mast;611948.1N 0251256.6E;61.33003832;25.21571729;329;845;F R;HN;Y
EFINOB 14152;Mast;620030.5N 0230034.5E;62.00848519;23.00957805;411;805;F R;HN;Y
EFINOB 14206;Mast;624550.5N 0251227.3E;62.76401848;25.20759275;384;1170;FLG W;H24;NIL
EFINOB 14242;Mast;660930.7N 0261404.1E;66.15851524;26.23447236;329;991;F R;HN;Y
EFINOB 14311;Mast;621225.0N 0253821.4E;62.20693926;25.63926774;1057;1828;FLG W;H24;NIL
EFINOB 14600;Chimney;602620.1N 0221417.3E;60.43891235;22.23814464;332;344;F R;HN;NIL
EFINOB 14699;Mast;611455.8N 0285157.5E;61.24884442;28.86598091;341;626;NIL;NIL;NIL
EFINOB 14701;Chimney;610645.8N 0212754.7E;61.11273457;21.46519418;394;425;F R;HN;NIL
EFINOB 14762;Mast;621321.8N 0240413.3E;62.22271815;24.07037073;427;1041;F R;HN;Y
EFINOB 14803;Mast;620005.7N 0225902.3E;62.00158776;22.98398292;345;808;F R;HN;Y
EFINOB 14841;Mast;603856.3N 0255051.1E;60.64897036;25.84753071;329;535;F R;HN;Y
EFINOB 14935;Mast;614348.3N 0231556.5E;61.73006977;23.26570579;394;807;F R;HN;Y
EFINOB 15048;Mast;614745.0N 0234348.1E;61.79582772;23.73002538;361;935;F R;HN;Y
EFINOB 15083;Mast;605007.6N 0220439.4E;60.83543796;22.0775994;334;494;F R;HN;Y
EFINOB 15217;Mast;613544.2N 0225815.9E;61.59561387;22.97109369;411;742;F R;HN;Y
EFINOB 15218;Mast;611310.7N 0232739.4E;61.2196476;23.46094021;329;814;F R;HN;Y
EFINOB 15356;Mast;611847.5N 0232255.8E;61.3132049;23.38215363;394;827;FLG R;H24;Y
EFINOB 15504;Mast;615626.9N 0240925.1E;61.94079566;24.15697217;411;960;FLG R;H24;Y
EFINOB 15523;Chimney;623538.1N 0254424.5E;62.59391871;25.74013142;329;646;F R;HN;NIL
EFINOB 15636;Mast;620906.1N 0230941.4E;62.15168518;23.16150876;394;887;F R;HN;Y
EFINOB 15640;Chimney;650018.5N 0252548.3E;65.00512747;25.43007712;412;423;F R;HN;Y
EFINOB 15799;Mast;615657.2N 0243020.1E;61.94923067;24.50558928;368;915;F R;HN;Y
EFINOB 15935;Mast;614209.9N 0243433.3E;61.7027623;24.57591411;411;907;FLG R;HN;Y
EFINOB 15961;Mast;614417.2N 0245822.4E;61.73810317;24.97288568;411;910;FLG R;H24;Y
EFINOB 15962;Mast;615600.6N 0225201.3E;61.93351219;22.86703888;394;838;FLG R;H24;Y
EFINOB 16008;Mast;620029.1N 0240440.4E;62.00807834;24.07788241;411;894;FLG R;H24;Y
EFINOB 16015;Mast;615408.3N 0225834.8E;61.9023067;22.97632997;394;885;FLG R;H24;Y
EFINOB 16085;Mast;613539.8N 0244756.8E;61.59438125;24.79910805;411;897;FLG R;H24;Y
EFINOB 16113;Mast;614435.3N 0233415.8E;61.74313112;23.57105851;411;862;FLG R;H24;Y
EFINOB 16120;Mast;613834.9N 0231415.2E;61.643024;23.23754865;404;804;FLG R;H24;Y
EFINOB 16121;Mast;615713.9N 0233247.7E;61.95386574;23.54657962;394;1005;FLG R;H24;Y
EFINOB 16125;Mast;615914.5N 0242032.4E;61.98737031;24.34233184;397;940;FLG R;H24;Y
EFINOB 16164;Mast;620540.6N 0234907.8E;62.09460398;23.81882551;397;861;FLG R;H24;Y
EFINOB 16229;Mast;610053.0N 0233241.0E;61.01471738;23.54471648;394;867;FLG R;H24;Y
EFINOB 16246;Mast;612537.9N 0255511.9E;61.42719401;25.91997631;394;880;FLG R;H24;Y
EFINOB 16362;Mast;604252.5N 0214606.5E;60.71458931;21.76846757;332;423;F R;HN;Y
EFINOB 16402;Mast;614249.0N 0241213.0E;61.71361765;24.20361075;397;906;FLG R;H24;Y
EFINOB 16454;Mast;610455.2N 0220401.1E;61.08199385;22.06698411;337;543;F R;HN;Y
EFINOB 16512;Chimney;610749.1N 0282705.7E;61.1303003;28.45159484;493;785;F R;HN;NIL
EFINOB 16550;Mast;621713.3N 0213829.4E;62.28701389;21.64148768;696;1110;FLG W;H24;Y
EFINOB 16801;Mast;614740.4N 0231449.5E;61.79455079;23.2470916;397;867;FLG R;H24;Y
EFINOB 16951;Mast;620705.1N 0233726.9E;62.11807426;23.62413245;397;933;FLG R;H24;Y
